genre,danceability,energy,acousticness,instrumentalness,valence,speechiness,loudness,tempo
instrumental,0.555,0.0799,0.995,0.968,0.445,0.12,-25.546999999999997,117.32600000000001
instrumental,0.302,0.10099999999999999,0.943,0.8859999999999999,0.213,0.0378,-19.705,106.904
instrumental,0.37799999999999995,0.0437,0.995,0.92,0.423,0.0357,-26.159000000000002,77.211
instrumental,0.368,0.00892,0.99,0.9109999999999999,0.287,0.05,-29.555,63.638999999999996
instrumental,0.374,0.0989,0.991,0.805,0.342,0.0326,-28.377,152.84
instrumental,0.313,0.0102,0.992,0.907,0.0965,0.0326,-23.15,82.781
instrumental,0.622,0.0251,0.996,0.945,0.363,0.055999999999999994,-24.906999999999996,116.36399999999999
instrumental,0.304,0.00275,0.993,0.932,0.253,0.0524,-38.48,69.405
instrumental,0.465,0.0289,0.996,0.9590000000000001,0.44799999999999995,0.043,-27.689,99.87299999999999
instrumental,0.23199999999999998,0.00449,0.9940000000000001,0.852,0.0988,0.0375,-34.69,73.35600000000001
instrumental,0.402,0.055,0.996,0.972,0.243,0.0529,-22.523000000000003,134.466
instrumental,0.22399999999999998,0.0138,0.9940000000000001,0.904,0.0863,0.0367,-30.011,60.583999999999996
instrumental,0.40299999999999997,0.0621,0.995,0.932,0.146,0.049,-28.678,135.761
instrumental,0.46299999999999997,0.0249,0.993,0.9279999999999999,0.21600000000000003,0.0394,-24.519000000000002,144.599
instrumental,0.12,0.0436,0.79,0.889,0.0361,0.0383,-22.044,72.339
instrumental,0.491,0.0509,0.995,0.945,0.561,0.0509,-27.587,94.146
instrumental,0.21,0.00385,0.992,0.95,0.114,0.0348,-37.141,107.116
instrumental,0.431,0.0353,0.9940000000000001,0.912,0.161,0.0612,-23.003,118.281
instrumental,0.565,0.0843,0.9940000000000001,0.9470000000000001,0.44,0.0448,-24.145,86.022
instrumental,0.419,0.0168,0.9690000000000001,0.9390000000000001,0.278,0.0379,-26.478,63.238
instrumental,0.452,0.0238,0.995,0.966,0.36,0.0622,-27.5,109.71
instrumental,0.24,0.00495,0.995,0.892,0.0962,0.0385,-33.827,70.405
instrumental,0.414,0.0874,0.996,0.965,0.414,0.0521,-26.017,140.352
instrumental,0.361,0.0165,0.995,0.9670000000000001,0.452,0.0615,-27.874000000000002,114.346
instrumental,0.405,0.0302,0.995,0.855,0.313,0.0369,-23.423000000000002,74.418
instrumental,0.158,0.153,0.679,0.9009999999999999,0.0655,0.0346,-19.448,89.46700000000001
instrumental,0.133,0.00512,0.993,0.851,0.0495,0.038,-33.295,67.818
instrumental,0.225,0.0131,0.976,0.958,0.0762,0.0405,-29.096,64.27
instrumental,0.332,0.0219,0.993,0.922,0.28300000000000003,0.0426,-21.982,167.37099999999998
instrumental,0.235,0.0282,0.922,0.9109999999999999,0.192,0.0443,-33.656,121.39
instrumental,0.203,0.00541,0.981,0.902,0.0511,0.0382,-32.599000000000004,69.264
instrumental,0.142,0.0412,0.963,0.813,0.0369,0.0466,-22.866,67.3
instrumental,0.426,0.0285,0.991,0.938,0.312,0.0379,-23.47,73.84899999999999
instrumental,0.257,0.0328,0.995,0.7759999999999999,0.146,0.0446,-31.575,110.289
instrumental,0.256,0.00486,0.993,0.872,0.057999999999999996,0.0403,-33.196999999999996,68.869
instrumental,0.365,0.0333,0.9940000000000001,0.909,0.54,0.0396,-22.649,68.63
instrumental,0.387,0.00487,0.996,0.9570000000000001,0.212,0.0584,-33.84,70.309
instrumental,0.15,0.0883,0.9309999999999999,0.95,0.0392,0.0418,-22.406,137.014
instrumental,0.39399999999999996,0.0281,0.995,0.9690000000000001,0.301,0.0666,-23.71,200.615
instrumental,0.23800000000000002,0.0848,0.985,0.898,0.168,0.0357,-22.482,167.50599999999997
instrumental,0.514,0.0282,0.995,0.95,0.244,0.0693,-20.249000000000002,96.015
instrumental,0.40700000000000003,0.0299,0.9940000000000001,0.878,0.26899999999999996,0.036000000000000004,-29.699,119.75
instrumental,0.0793,0.163,0.867,0.9079999999999999,0.0347,0.0368,-22.164,76.074
instrumental,0.17800000000000002,0.009859999999999999,0.993,0.802,0.0911,0.0403,-24.756999999999998,92.709
instrumental,0.11699999999999999,0.121,0.7809999999999999,0.816,0.0383,0.047,-22.695,85.191
instrumental,0.204,0.0113,0.973,0.8540000000000001,0.111,0.0433,-31.284000000000002,78.134
instrumental,0.36,0.00867,0.9940000000000001,0.9390000000000001,0.253,0.0633,-38.123000000000005,67.16199999999999
instrumental,0.273,0.0065,0.973,0.946,0.23399999999999999,0.0366,-27.214000000000002,63.427
instrumental,0.115,0.0197,0.966,0.9279999999999999,0.0651,0.0375,-25.263,78.449
instrumental,0.555,0.0799,0.995,0.968,0.445,0.12,-25.546999999999997,117.32600000000001
instrumental,0.27,0.0205,0.927,0.91,0.109,0.0359,-29.372,69.882
instrumental,0.37799999999999995,0.0437,0.995,0.92,0.423,0.0357,-26.159000000000002,77.211
instrumental,0.368,0.00892,0.99,0.9109999999999999,0.287,0.05,-29.555,63.638999999999996
instrumental,0.374,0.0989,0.991,0.805,0.342,0.0326,-28.377,152.84
instrumental,0.313,0.0102,0.992,0.907,0.0965,0.0326,-23.15,82.781
instrumental,0.622,0.0251,0.996,0.945,0.363,0.055999999999999994,-24.906999999999996,116.36399999999999
instrumental,0.304,0.00275,0.993,0.932,0.253,0.0524,-38.48,69.405
instrumental,0.465,0.0289,0.996,0.9590000000000001,0.44799999999999995,0.043,-27.689,99.87299999999999
instrumental,0.23199999999999998,0.00449,0.9940000000000001,0.852,0.0988,0.0375,-34.69,73.35600000000001
instrumental,0.402,0.055,0.996,0.972,0.243,0.0529,-22.523000000000003,134.466
instrumental,0.22399999999999998,0.0138,0.9940000000000001,0.904,0.0863,0.0367,-30.011,60.583999999999996
instrumental,0.40299999999999997,0.0621,0.995,0.932,0.146,0.049,-28.678,135.761
instrumental,0.46299999999999997,0.0249,0.993,0.9279999999999999,0.21600000000000003,0.0394,-24.519000000000002,144.599
instrumental,0.12,0.0436,0.79,0.889,0.0361,0.0383,-22.044,72.339
instrumental,0.491,0.0509,0.995,0.945,0.561,0.0509,-27.587,94.146
instrumental,0.21,0.00385,0.992,0.95,0.114,0.0348,-37.141,107.116
instrumental,0.431,0.0353,0.9940000000000001,0.912,0.161,0.0612,-23.003,118.281
instrumental,0.565,0.0843,0.9940000000000001,0.9470000000000001,0.44,0.0448,-24.145,86.022
instrumental,0.419,0.0168,0.9690000000000001,0.9390000000000001,0.278,0.0379,-26.478,63.238
instrumental,0.452,0.0238,0.995,0.966,0.36,0.0622,-27.5,109.71
instrumental,0.24,0.00495,0.995,0.892,0.0962,0.0385,-33.827,70.405
instrumental,0.414,0.0874,0.996,0.965,0.414,0.0521,-26.017,140.352
instrumental,0.361,0.0165,0.995,0.9670000000000001,0.452,0.0615,-27.874000000000002,114.346
instrumental,0.405,0.0302,0.995,0.855,0.313,0.0369,-23.423000000000002,74.418
instrumental,0.158,0.153,0.679,0.9009999999999999,0.0655,0.0346,-19.448,89.46700000000001
instrumental,0.133,0.00512,0.993,0.851,0.0495,0.038,-33.295,67.818
instrumental,0.225,0.0131,0.976,0.958,0.0762,0.0405,-29.096,64.27
instrumental,0.332,0.0219,0.993,0.922,0.28300000000000003,0.0426,-21.982,167.37099999999998
instrumental,0.235,0.0282,0.922,0.9109999999999999,0.192,0.0443,-33.656,121.39
instrumental,0.203,0.00541,0.981,0.902,0.0511,0.0382,-32.599000000000004,69.264
instrumental,0.142,0.0412,0.963,0.813,0.0369,0.0466,-22.866,67.3
instrumental,0.426,0.0285,0.991,0.938,0.312,0.0379,-23.47,73.84899999999999
instrumental,0.257,0.0328,0.995,0.7759999999999999,0.146,0.0446,-31.575,110.289
instrumental,0.256,0.00486,0.993,0.872,0.057999999999999996,0.0403,-33.196999999999996,68.869
instrumental,0.365,0.0333,0.9940000000000001,0.909,0.54,0.0396,-22.649,68.63
instrumental,0.387,0.00487,0.996,0.9570000000000001,0.212,0.0584,-33.84,70.309
instrumental,0.15,0.0883,0.9309999999999999,0.95,0.0392,0.0418,-22.406,137.014
instrumental,0.39399999999999996,0.0281,0.995,0.9690000000000001,0.301,0.0666,-23.71,200.615
instrumental,0.23800000000000002,0.0848,0.985,0.898,0.168,0.0357,-22.482,167.50599999999997
instrumental,0.514,0.0282,0.995,0.95,0.244,0.0693,-20.249000000000002,96.015
instrumental,0.40700000000000003,0.0299,0.9940000000000001,0.878,0.26899999999999996,0.036000000000000004,-29.699,119.75
instrumental,0.0793,0.163,0.867,0.9079999999999999,0.0347,0.0368,-22.164,76.074
instrumental,0.17800000000000002,0.009859999999999999,0.993,0.802,0.0911,0.0403,-24.756999999999998,92.709
instrumental,0.11699999999999999,0.121,0.7809999999999999,0.816,0.0383,0.047,-22.695,85.191
instrumental,0.204,0.0113,0.973,0.8540000000000001,0.111,0.0433,-31.284000000000002,78.134
instrumental,0.36,0.00867,0.9940000000000001,0.9390000000000001,0.253,0.0633,-38.123000000000005,67.16199999999999
instrumental,0.273,0.0065,0.973,0.946,0.23399999999999999,0.0366,-27.214000000000002,63.427
instrumental,0.115,0.0197,0.966,0.9279999999999999,0.0651,0.0375,-25.263,78.449
instrumental,0.555,0.0799,0.995,0.968,0.445,0.12,-25.546999999999997,117.32600000000001
instrumental,0.27,0.0205,0.927,0.91,0.109,0.0359,-29.372,69.882
instrumental,0.321,0.0258,0.995,0.915,0.255,0.0454,-27.129,67.535
instrumental,0.368,0.00892,0.99,0.9109999999999999,0.287,0.05,-29.555,63.638999999999996
instrumental,0.374,0.0989,0.991,0.805,0.342,0.0326,-28.377,152.84
instrumental,0.313,0.0102,0.992,0.907,0.0965,0.0326,-23.15,82.781
instrumental,0.622,0.0251,0.996,0.945,0.363,0.055999999999999994,-24.906999999999996,116.36399999999999
instrumental,0.304,0.00275,0.993,0.932,0.253,0.0524,-38.48,69.405
instrumental,0.465,0.0289,0.996,0.9590000000000001,0.44799999999999995,0.043,-27.689,99.87299999999999
instrumental,0.23199999999999998,0.00449,0.9940000000000001,0.852,0.0988,0.0375,-34.69,73.35600000000001
instrumental,0.402,0.055,0.996,0.972,0.243,0.0529,-22.523000000000003,134.466
instrumental,0.22399999999999998,0.0138,0.9940000000000001,0.904,0.0863,0.0367,-30.011,60.583999999999996
instrumental,0.40299999999999997,0.0621,0.995,0.932,0.146,0.049,-28.678,135.761
instrumental,0.46299999999999997,0.0249,0.993,0.9279999999999999,0.21600000000000003,0.0394,-24.519000000000002,144.599
instrumental,0.12,0.0436,0.79,0.889,0.0361,0.0383,-22.044,72.339
instrumental,0.491,0.0509,0.995,0.945,0.561,0.0509,-27.587,94.146
instrumental,0.21,0.00385,0.992,0.95,0.114,0.0348,-37.141,107.116
instrumental,0.431,0.0353,0.9940000000000001,0.912,0.161,0.0612,-23.003,118.281
instrumental,0.565,0.0843,0.9940000000000001,0.9470000000000001,0.44,0.0448,-24.145,86.022
instrumental,0.419,0.0168,0.9690000000000001,0.9390000000000001,0.278,0.0379,-26.478,63.238
instrumental,0.452,0.0238,0.995,0.966,0.36,0.0622,-27.5,109.71
instrumental,0.24,0.00495,0.995,0.892,0.0962,0.0385,-33.827,70.405
instrumental,0.414,0.0874,0.996,0.965,0.414,0.0521,-26.017,140.352
instrumental,0.361,0.0165,0.995,0.9670000000000001,0.452,0.0615,-27.874000000000002,114.346
instrumental,0.405,0.0302,0.995,0.855,0.313,0.0369,-23.423000000000002,74.418
instrumental,0.158,0.153,0.679,0.9009999999999999,0.0655,0.0346,-19.448,89.46700000000001
instrumental,0.133,0.00512,0.993,0.851,0.0495,0.038,-33.295,67.818
instrumental,0.225,0.0131,0.976,0.958,0.0762,0.0405,-29.096,64.27
instrumental,0.332,0.0219,0.993,0.922,0.28300000000000003,0.0426,-21.982,167.37099999999998
instrumental,0.235,0.0282,0.922,0.9109999999999999,0.192,0.0443,-33.656,121.39
instrumental,0.203,0.00541,0.981,0.902,0.0511,0.0382,-32.599000000000004,69.264
instrumental,0.142,0.0412,0.963,0.813,0.0369,0.0466,-22.866,67.3
instrumental,0.426,0.0285,0.991,0.938,0.312,0.0379,-23.47,73.84899999999999
instrumental,0.257,0.0328,0.995,0.7759999999999999,0.146,0.0446,-31.575,110.289
instrumental,0.256,0.00486,0.993,0.872,0.057999999999999996,0.0403,-33.196999999999996,68.869
instrumental,0.365,0.0333,0.9940000000000001,0.909,0.54,0.0396,-22.649,68.63
instrumental,0.387,0.00487,0.996,0.9570000000000001,0.212,0.0584,-33.84,70.309
instrumental,0.15,0.0883,0.9309999999999999,0.95,0.0392,0.0418,-22.406,137.014
instrumental,0.39399999999999996,0.0281,0.995,0.9690000000000001,0.301,0.0666,-23.71,200.615
instrumental,0.23800000000000002,0.0848,0.985,0.898,0.168,0.0357,-22.482,167.50599999999997
instrumental,0.514,0.0282,0.995,0.95,0.244,0.0693,-20.249000000000002,96.015
instrumental,0.40700000000000003,0.0299,0.9940000000000001,0.878,0.26899999999999996,0.036000000000000004,-29.699,119.75
instrumental,0.0793,0.163,0.867,0.9079999999999999,0.0347,0.0368,-22.164,76.074
instrumental,0.17800000000000002,0.009859999999999999,0.993,0.802,0.0911,0.0403,-24.756999999999998,92.709
instrumental,0.11699999999999999,0.121,0.7809999999999999,0.816,0.0383,0.047,-22.695,85.191
instrumental,0.204,0.0113,0.973,0.8540000000000001,0.111,0.0433,-31.284000000000002,78.134
instrumental,0.36,0.00867,0.9940000000000001,0.9390000000000001,0.253,0.0633,-38.123000000000005,67.16199999999999
instrumental,0.273,0.0065,0.973,0.946,0.23399999999999999,0.0366,-27.214000000000002,63.427
instrumental,0.115,0.0197,0.966,0.9279999999999999,0.0651,0.0375,-25.263,78.449
instrumental,0.555,0.0799,0.995,0.968,0.445,0.12,-25.546999999999997,117.32600000000001
instrumental,0.27,0.0205,0.927,0.91,0.109,0.0359,-29.372,69.882
instrumental,0.321,0.0258,0.995,0.915,0.255,0.0454,-27.129,67.535
instrumental,0.508,0.0666,0.993,0.9309999999999999,0.32299999999999995,0.0508,-28.189,179.888
