genre,danceability,energy,acousticness,instrumentalness,valence,speechiness,loudness,tempo
kpop,0.72,0.8240000000000001,0.0394,0.0,0.33299999999999996,0.128,-5.086,165.998
kpop,0.643,0.667,0.0433,0.0,0.485,0.152,-6.992999999999999,145.999
kpop,0.526,0.575,0.225,0.0,0.19,0.0309,-5.215,84.04700000000001
kpop,0.5660000000000001,0.5479999999999999,0.0802,0.0,0.196,0.0579,-6.456,157.999
kpop,0.589,0.696,0.017,0.0,0.332,0.0725,-7.981,134.953
kpop,0.738,0.861,0.32,0.00175,0.58,0.237,-4.141,131.974
kpop,0.7190000000000001,0.758,0.13699999999999998,0.0,0.49,0.0851,-5.167000000000001,147.023
kpop,0.55,0.747,0.0668,0.0,0.648,0.0407,-5.211,79.98
kpop,0.7190000000000001,0.758,0.13699999999999998,0.0,0.49,0.0851,-5.167000000000001,147.023
kpop,0.584,0.685,0.0304,0.0,0.345,0.425,-7.811,97.551
kpop,0.664,0.6659999999999999,0.193,0.0,0.405,0.0446,-2.2030000000000003,139.987
kpop,0.703,0.6459999999999999,0.0104,0.0,0.64,0.0596,-6.6579999999999995,141.87
kpop,0.385,0.7979999999999999,0.115,0.0,0.141,0.483,-6.439,149.756
kpop,0.8079999999999999,0.903,0.0121,0.000233,0.473,0.0958,-3.1060000000000003,116.988
kpop,0.637,0.799,0.39399999999999996,0.0,0.562,0.0338,-4.519,104.995
kpop,0.6709999999999999,0.8590000000000001,0.0323,0.0,0.389,0.0833,-3.9219999999999997,139.931
kpop,0.794,0.762,0.0358,1.41e-06,0.48200000000000004,0.0392,-3.525,109.97
kpop,0.7090000000000001,0.9590000000000001,0.0296,0.0018800000000000002,0.644,0.0603,-1.339,128.983
kpop,0.6970000000000001,0.8740000000000001,0.0122,0.0,0.775,0.045,-2.15,132.02200000000002
kpop,0.6609999999999999,0.84,0.00485,0.0,0.524,0.11599999999999999,-4.805,91.45700000000001
kpop,0.782,0.731,0.0376,3.15e-05,0.8240000000000001,0.14300000000000002,-4.581,138.032
kpop,0.6920000000000001,0.8809999999999999,0.0457,4.26e-06,0.433,0.0461,-2.563,103.055
kpop,0.8740000000000001,0.787,0.11800000000000001,0.0,0.8959999999999999,0.129,-2.416,108.007
kpop,0.539,0.846,0.0063,1.68e-06,0.46,0.0354,-3.1919999999999997,106.992
kpop,0.34700000000000003,0.578,0.445,0.0,0.226,0.0626,-7.525,86.73
kpop,0.6809999999999999,0.847,0.0306,0.0,0.507,0.0869,-2.4619999999999997,167.03099999999998
kpop,0.583,0.885,0.0244,0.0,0.601,0.106,-3.571,92.959
kpop,0.5489999999999999,0.813,0.0556,4.44e-06,0.544,0.14800000000000002,-4.828,151.813
kpop,0.7340000000000001,0.855,0.00481,0.0,0.42200000000000004,0.11800000000000001,-3.2110000000000003,126.035
kpop,0.58,0.858,0.125,0.0,0.475,0.114,-5.212000000000001,174.03900000000002
kpop,0.606,0.848,0.0114,1.06e-06,0.54,0.184,-3.952,170.01
kpop,0.633,0.799,0.0142,0.0,0.535,0.0429,-4.625,142.991
kpop,0.5660000000000001,0.769,0.0183,0.0,0.385,0.0872,-4.342,170.03599999999997
kpop,0.7509999999999999,0.642,0.0861,0.0,0.38799999999999996,0.087,-5.165,95.045
kpop,0.557,0.7190000000000001,0.00267,0.0,0.344,0.0372,-4.515,77.501
kpop,0.653,0.9229999999999999,0.145,0.0,0.6920000000000001,0.0621,-2.1630000000000003,114.902
kpop,0.7040000000000001,0.7290000000000001,0.0024,0.0,0.71,0.0624,-3.8510000000000004,129.99200000000002
kpop,0.583,0.7120000000000001,0.2,0.0,0.7759999999999999,0.0326,-4.942,94.051
kpop,0.79,0.853,0.00116,4.23e-05,0.713,0.0665,-4.564,124.99799999999999
kpop,0.8059999999999999,0.7070000000000001,0.331,0.0,0.746,0.0307,-4.623,118.01100000000001
kpop,0.614,0.823,0.0269,0.0,0.539,0.062,-3.48,139.94799999999998
kpop,0.7859999999999999,0.853,0.0688,0.0,0.45,0.0816,-2.687,125.03399999999999
kpop,0.542,0.777,0.00331,0.0,0.503,0.033,-5.582000000000001,94.069
kpop,0.627,0.706,0.00227,0.0,0.536,0.0597,-3.201,99.93
kpop,0.826,0.8170000000000001,0.00502,1.09e-05,0.168,0.0921,-4.081,97.053
kpop,0.7809999999999999,0.762,0.0222,0.0,0.86,0.0626,-5.188,110.042
kpop,0.674,0.64,0.151,0.0,0.664,0.0339,-5.138999999999999,99.90799999999999
kpop,0.591,0.848,0.13699999999999998,0.0,0.386,0.0828,-4.397,105.92200000000001
kpop,0.809,0.9109999999999999,0.00795,0.00017900000000000001,0.64,0.0617,-4.41,122.035
kpop,0.72,0.8240000000000001,0.0394,0.0,0.33299999999999996,0.128,-5.086,165.998
kpop,0.643,0.667,0.0433,0.0,0.485,0.152,-6.992999999999999,145.999
kpop,0.526,0.575,0.225,0.0,0.19,0.0309,-5.215,84.04700000000001
kpop,0.5660000000000001,0.5479999999999999,0.0802,0.0,0.196,0.0579,-6.456,157.999
kpop,0.589,0.696,0.017,0.0,0.332,0.0725,-7.981,134.953
kpop,0.738,0.861,0.32,0.00175,0.58,0.237,-4.141,131.974
kpop,0.7190000000000001,0.758,0.13699999999999998,0.0,0.49,0.0851,-5.167000000000001,147.023
kpop,0.55,0.747,0.0668,0.0,0.648,0.0407,-5.211,79.98
kpop,0.7190000000000001,0.758,0.13699999999999998,0.0,0.49,0.0851,-5.167000000000001,147.023
kpop,0.584,0.685,0.0304,0.0,0.345,0.425,-7.811,97.551
kpop,0.664,0.6659999999999999,0.193,0.0,0.405,0.0446,-2.2030000000000003,139.987
kpop,0.703,0.6459999999999999,0.0104,0.0,0.64,0.0596,-6.6579999999999995,141.87
kpop,0.385,0.7979999999999999,0.115,0.0,0.141,0.483,-6.439,149.756
kpop,0.8079999999999999,0.903,0.0121,0.000233,0.473,0.0958,-3.1060000000000003,116.988
kpop,0.637,0.799,0.39399999999999996,0.0,0.562,0.0338,-4.519,104.995
kpop,0.6709999999999999,0.8590000000000001,0.0323,0.0,0.389,0.0833,-3.9219999999999997,139.931
kpop,0.794,0.762,0.0358,1.41e-06,0.48200000000000004,0.0392,-3.525,109.97
kpop,0.7090000000000001,0.9590000000000001,0.0296,0.0018800000000000002,0.644,0.0603,-1.339,128.983
kpop,0.6970000000000001,0.8740000000000001,0.0122,0.0,0.775,0.045,-2.15,132.02200000000002
kpop,0.6609999999999999,0.84,0.00485,0.0,0.524,0.11599999999999999,-4.805,91.45700000000001
kpop,0.782,0.731,0.0376,3.15e-05,0.8240000000000001,0.14300000000000002,-4.581,138.032
kpop,0.6920000000000001,0.8809999999999999,0.0457,4.26e-06,0.433,0.0461,-2.563,103.055
kpop,0.8740000000000001,0.787,0.11800000000000001,0.0,0.8959999999999999,0.129,-2.416,108.007
kpop,0.539,0.846,0.0063,1.68e-06,0.46,0.0354,-3.1919999999999997,106.992
kpop,0.34700000000000003,0.578,0.445,0.0,0.226,0.0626,-7.525,86.73
kpop,0.6809999999999999,0.847,0.0306,0.0,0.507,0.0869,-2.4619999999999997,167.03099999999998
kpop,0.583,0.885,0.0244,0.0,0.601,0.106,-3.571,92.959
kpop,0.5489999999999999,0.813,0.0556,4.44e-06,0.544,0.14800000000000002,-4.828,151.813
kpop,0.7340000000000001,0.855,0.00481,0.0,0.42200000000000004,0.11800000000000001,-3.2110000000000003,126.035
kpop,0.58,0.858,0.125,0.0,0.475,0.114,-5.212000000000001,174.03900000000002
kpop,0.606,0.848,0.0114,1.06e-06,0.54,0.184,-3.952,170.01
kpop,0.633,0.799,0.0142,0.0,0.535,0.0429,-4.625,142.991
kpop,0.5660000000000001,0.769,0.0183,0.0,0.385,0.0872,-4.342,170.03599999999997
kpop,0.7509999999999999,0.642,0.0861,0.0,0.38799999999999996,0.087,-5.165,95.045
kpop,0.557,0.7190000000000001,0.00267,0.0,0.344,0.0372,-4.515,77.501
kpop,0.653,0.9229999999999999,0.145,0.0,0.6920000000000001,0.0621,-2.1630000000000003,114.902
kpop,0.7040000000000001,0.7290000000000001,0.0024,0.0,0.71,0.0624,-3.8510000000000004,129.99200000000002
kpop,0.583,0.7120000000000001,0.2,0.0,0.7759999999999999,0.0326,-4.942,94.051
kpop,0.79,0.853,0.00116,4.23e-05,0.713,0.0665,-4.564,124.99799999999999
kpop,0.8059999999999999,0.7070000000000001,0.331,0.0,0.746,0.0307,-4.623,118.01100000000001
kpop,0.614,0.823,0.0269,0.0,0.539,0.062,-3.48,139.94799999999998
kpop,0.7859999999999999,0.853,0.0688,0.0,0.45,0.0816,-2.687,125.03399999999999
kpop,0.542,0.777,0.00331,0.0,0.503,0.033,-5.582000000000001,94.069
kpop,0.627,0.706,0.00227,0.0,0.536,0.0597,-3.201,99.93
kpop,0.826,0.8170000000000001,0.00502,1.09e-05,0.168,0.0921,-4.081,97.053
kpop,0.598,0.775,0.022000000000000002,0.0,0.687,0.0545,-4.035,129.819
kpop,0.674,0.64,0.151,0.0,0.664,0.0339,-5.138999999999999,99.90799999999999
kpop,0.591,0.848,0.13699999999999998,0.0,0.386,0.0828,-4.397,105.92200000000001
kpop,0.809,0.9109999999999999,0.00795,0.00017900000000000001,0.64,0.0617,-4.41,122.035
kpop,0.72,0.8240000000000001,0.0394,0.0,0.33299999999999996,0.128,-5.086,165.998
kpop,0.643,0.667,0.0433,0.0,0.485,0.152,-6.992999999999999,145.999
kpop,0.526,0.575,0.225,0.0,0.19,0.0309,-5.215,84.04700000000001
kpop,0.5660000000000001,0.5479999999999999,0.0802,0.0,0.196,0.0579,-6.456,157.999
kpop,0.589,0.696,0.017,0.0,0.332,0.0725,-7.981,134.953
kpop,0.738,0.861,0.32,0.00175,0.58,0.237,-4.141,131.974
kpop,0.7190000000000001,0.758,0.13699999999999998,0.0,0.49,0.0851,-5.167000000000001,147.023
kpop,0.55,0.747,0.0668,0.0,0.648,0.0407,-5.211,79.98
kpop,0.7190000000000001,0.758,0.13699999999999998,0.0,0.49,0.0851,-5.167000000000001,147.023
kpop,0.584,0.685,0.0304,0.0,0.345,0.425,-7.811,97.551
kpop,0.664,0.6659999999999999,0.193,0.0,0.405,0.0446,-2.2030000000000003,139.987
kpop,0.703,0.6459999999999999,0.0104,0.0,0.64,0.0596,-6.6579999999999995,141.87
kpop,0.385,0.7979999999999999,0.115,0.0,0.141,0.483,-6.439,149.756
kpop,0.8079999999999999,0.903,0.0121,0.000233,0.473,0.0958,-3.1060000000000003,116.988
kpop,0.637,0.799,0.39399999999999996,0.0,0.562,0.0338,-4.519,104.995
kpop,0.6709999999999999,0.8590000000000001,0.0323,0.0,0.389,0.0833,-3.9219999999999997,139.931
kpop,0.794,0.762,0.0358,1.41e-06,0.48200000000000004,0.0392,-3.525,109.97
kpop,0.7090000000000001,0.9590000000000001,0.0296,0.0018800000000000002,0.644,0.0603,-1.339,128.983
kpop,0.6970000000000001,0.8740000000000001,0.0122,0.0,0.775,0.045,-2.15,132.02200000000002
kpop,0.6609999999999999,0.84,0.00485,0.0,0.524,0.11599999999999999,-4.805,91.45700000000001
kpop,0.782,0.731,0.0376,3.15e-05,0.8240000000000001,0.14300000000000002,-4.581,138.032
kpop,0.6920000000000001,0.8809999999999999,0.0457,4.26e-06,0.433,0.0461,-2.563,103.055
kpop,0.8740000000000001,0.787,0.11800000000000001,0.0,0.8959999999999999,0.129,-2.416,108.007
kpop,0.539,0.846,0.0063,1.68e-06,0.46,0.0354,-3.1919999999999997,106.992
kpop,0.34700000000000003,0.578,0.445,0.0,0.226,0.0626,-7.525,86.73
kpop,0.6809999999999999,0.847,0.0306,0.0,0.507,0.0869,-2.4619999999999997,167.03099999999998
kpop,0.583,0.885,0.0244,0.0,0.601,0.106,-3.571,92.959
kpop,0.5489999999999999,0.813,0.0556,4.44e-06,0.544,0.14800000000000002,-4.828,151.813
kpop,0.7340000000000001,0.855,0.00481,0.0,0.42200000000000004,0.11800000000000001,-3.2110000000000003,126.035
kpop,0.58,0.858,0.125,0.0,0.475,0.114,-5.212000000000001,174.03900000000002
kpop,0.606,0.848,0.0114,1.06e-06,0.54,0.184,-3.952,170.01
kpop,0.633,0.799,0.0142,0.0,0.535,0.0429,-4.625,142.991
kpop,0.5660000000000001,0.769,0.0183,0.0,0.385,0.0872,-4.342,170.03599999999997
kpop,0.7509999999999999,0.642,0.0861,0.0,0.38799999999999996,0.087,-5.165,95.045
kpop,0.557,0.7190000000000001,0.00267,0.0,0.344,0.0372,-4.515,77.501
kpop,0.653,0.9229999999999999,0.145,0.0,0.6920000000000001,0.0621,-2.1630000000000003,114.902
kpop,0.7040000000000001,0.7290000000000001,0.0024,0.0,0.71,0.0624,-3.8510000000000004,129.99200000000002
kpop,0.583,0.7120000000000001,0.2,0.0,0.7759999999999999,0.0326,-4.942,94.051
kpop,0.79,0.853,0.00116,4.23e-05,0.713,0.0665,-4.564,124.99799999999999
kpop,0.8059999999999999,0.7070000000000001,0.331,0.0,0.746,0.0307,-4.623,118.01100000000001
kpop,0.614,0.823,0.0269,0.0,0.539,0.062,-3.48,139.94799999999998
kpop,0.7859999999999999,0.853,0.0688,0.0,0.45,0.0816,-2.687,125.03399999999999
kpop,0.542,0.777,0.00331,0.0,0.503,0.033,-5.582000000000001,94.069
kpop,0.627,0.706,0.00227,0.0,0.536,0.0597,-3.201,99.93
kpop,0.826,0.8170000000000001,0.00502,1.09e-05,0.168,0.0921,-4.081,97.053
kpop,0.598,0.775,0.022000000000000002,0.0,0.687,0.0545,-4.035,129.819
kpop,0.509,0.5579999999999999,0.29,0.0,0.327,0.0276,-6.369,135.879
